,CODE_ARCHIVO,Latitud,Longitud,DPTO,MUNICIPIO,VARIEDAD,SIST_SIMPLE,FECHA_SIEMBRA,FECHA_EMERGENCIA,FECHA_COSECHA,ANO_COS,RENDIMIENTO_HA,ID,Cluster
1,AMTEC,5.338667,-72.229167,CASANARE,YOPAL,F2000,RIEGO,11/19/2014,11/25/2014,3/25/2015,2015,6875,247_Cas_JORGE LUIS SANCHEZ GONZALEZ_Las 21_21,1
2,AMTEC,5.312,-72.168,CASANARE,YOPAL,F174,SECANO,4/19/2015,4/25/2015,8/23/2015,2015,4875,220_Cas_JORGE LUIS SANCHEZ GONZALEZ_LAS 22_22,2
3,AMTEC,5.307056,-72.177333,CASANARE,YOPAL,F2000,SECANO,5/4/2015,5/10/2015,9/7/2015,2015,4687,219_Cas_JORGE LUIS SANCHEZ GONZALEZ_LAS 27_27,2
4,AMTEC,5.294,-72.3152,CASANARE,YOPAL,F174,RIEGO,10/18/2014,10/24/2014,2/21/2015,2015,8125,253_Cas_BIBIANA ALFONSO_LAS PALMAS_6,1
5,AMTEC,5.291639,-72.283417,CASANARE,YOPAL,F2000,RIEGO,9/19/2014,9/25/2014,1/23/2015,2015,5625,248_Cas_JORGE LUIS SANCHEZ GONZALEZ_Las 27_27,1
6,AMTEC,5.291639,-72.283417,CASANARE,YOPAL,F174,RIEGO,11/18/2014,11/24/2014,3/24/2015,2015,5000,250_Cas_JORGE LUIS SANCHEZ GONZALEZ_Las 11_11,1
7,AMTEC,5.291639,-72.283417,CASANARE,YOPAL,F174,RIEGO,11/18/2014,11/24/2014,3/24/2015,2015,5313,251_Cas_JORGE LUIS SANCHEZ GONZALEZ_Las 22_22,1
8,AMTEC,5.269967,-71.213978,CASANARE,YOPAL,F174,RIEGO,4/7/2015,4/13/2015,8/11/2015,2015,4563,157_Cas_BIVIANA SANCHEZ VERGARA_3a_27,2
9,AMTEC,5.210339,-72.246494,CASANARE,YOPAL,F174,SECANO,3/30/2015,4/5/2015,8/3/2015,2015,4101,168_Cas_BIVIANA SANCHEZ VERGARA_las 16_16,2
10,AMTEC,5.19358,-72.1618,CASANARE,YOPAL,LAGUNAS,RIEGO,11/28/2014,12/4/2014,4/3/2015,2015,4500,254_Cas_BIBIANA ALFONSO_LAS 24_24,1
11,AMTEC,5.164167,-72.175572,CASANARE,YOPAL,F68,SECANO,6/16/2015,6/22/2015,10/20/2015,2015,5688,213_Cas_Luis Fernando Plazas Bohórquez _El Cedral 1a_62,2
12,AMTEC,5.091417,-72.142333,CASANARE,YOPAL,F174,SECANO,6/16/2015,6/22/2015,10/20/2015,2015,4375,210_Cas_Luis Fernando Plazas Bohórquez _Las Flores_44,2
13,AMTEC,5.065639,-72.185111,CASANARE,YOPAL,F68,SECANO,6/16/2015,6/22/2015,10/20/2015,2015,2875,217_Cas_Luis Fernando Plazas Bohórquez _Las 19_19,2
14,AMTEC,5.065,-72.19,CASANARE,YOPAL,F733,SECANO,6/25/2014,7/1/2014,10/29/2014,2014,4500,240_Cas_JORGE LUIS SANCHEZ GONZALEZ_Las 34_34,3
15,AMTEC,5.065,-72.195,CASANARE,YOPAL,F733,SECANO,7/14/2014,7/20/2014,11/17/2014,2014,4688,241_Cas_JORGE LUIS SANCHEZ GONZALEZ_Las 8_8,3
16,AMTEC,5.065,-72.185,CASANARE,YOPAL,F733,SECANO,7/14/2014,7/20/2014,11/17/2014,2014,4875,242_Cas_JORGE LUIS SANCHEZ GONZALEZ_Las 9_9,3
17,AMTEC,5.051556,-72.184286,CASANARE,YOPAL,F68,SECANO,6/21/2015,6/27/2015,10/25/2015,2015,2875,218_Cas_Luis Fernando Plazas Bohórquez _Las 26_26,2
18,AMTEC,4.995972,-72.142972,CASANARE,YOPAL,F68,SECANO,6/8/2015,6/14/2015,10/12/2015,2015,5688,212_Cas_Luis Fernando Plazas Bohórquez _Las 20_20,2
19,AMTEC,4.37225,-72.172306,CASANARE,YOPAL,F174,SECANO,4/9/2015,4/15/2015,8/13/2015,2015,5937,229_Cas_JORGE LUIS SANCHEZ GONZALEZ_LAS 40_40,2
20,AMTEC,4.37225,-72.172306,CASANARE,YOPAL,F174,SECANO,4/21/2015,4/27/2015,8/25/2015,2015,6250,228_Cas_JORGE LUIS SANCHEZ GONZALEZ_LAS 45_45,2
21,AMTEC,4.37225,-72.172306,CASANARE,YOPAL,F2000,SECANO,5/19/2015,5/25/2015,9/22/2015,2015,6125,227_Cas_JORGE LUIS SANCHEZ GONZALEZ_LAS 83_83,2
22,ENA,NA,NA,CASANARE,YOPAL,Bonanza,SECANO,4/10/2007,4/10/2007,8/15/2007,2007,6875,ENA_2007a_108882,4
23,ENA,NA,NA,CASANARE,YOPAL,F2000,SECANO,4/23/2007,4/23/2007,8/12/2007,2007,5312.5,ENA_2007a_105420,4
24,ENA,NA,NA,CASANARE,YOPAL,F369,SECANO,4/15/2008,4/15/2008,8/19/2008,2008,6562.5,ENA_2008a_108882,4
25,ENA,NA,NA,CASANARE,YOPAL,F2000,SECANO,4/23/2008,4/23/2008,8/12/2008,2008,5312.5,ENA_2008a_105420,4
26,ENA,5.436057,-72.21553,CASANARE,YOPAL,Fortaleza,SECANO,3/25/2009,3/25/2009,8/5/2009,2009,5000,ENA_2009a_18697,5
